Metrica,Conjunto,Mes,MB_pm,DT_1,DT_5,RF_100,RF_500
MAE,Entrenamiento,Julio,N/A,0.202228,0.176174,0.162348,0.161944
MAE,Entrenamiento,Agosto,N/A,0.195175,0.182327,0.133436,0.132962
MAE,Entrenamiento,Septiembre,N/A,0.206718,0.191337,0.119925,0.119853
MAE,Entrenamiento,Octubre,N/A,0.208714,0.198022,0.103036,0.102718
MAE,Entrenamiento,Noviembre,N/A,0.230872,0.216117,0.10192,0.101706
MAE,Entrenamiento,Diciembre,N/A,0.276866,0.267009,0.297221,0.296799
MAE,Entrenamiento,Enero,N/A,0.276786,0.251744,0.098365,0.097457
MAE,Entrenamiento,Febrero,N/A,0.26285,0.246957,0.089606,0.088786
MAE,Prueba,Agosto,0.2495572,0.202228,0.176174,0.162348,0.161944
MAE,Prueba,Septiembre,0.2527032,0.237385,0.279564,0.270025,0.267478
MAE,Prueba,Octubre,0.2332603,0.214703,0.237773,0.270989,0.270538
MAE,Prueba,Noviembre,0.2889013,0.301345,0.280497,0.269078,0.269093
MAE,Prueba,Diciembre,0.5058725,0.506836,0.522496,0.517649,0.515707
MAE,Prueba,Enero,0.4524997,0.335213,0.556099,0.658775,0.656848
MAE,Prueba,Febrero,0.3857274,0.1653,0.216738,0.360707,0.361872
MAE,Prueba,Marzo,0.1968913,0.081376,0.123182,0.188215,0.192471